id,username,created_at,lng,lat,text
1517009424270827521,LiamODin,Thu Apr 21 05:16:46 +0000 2022,-118.346138,33.914068,I cry a lot during movies but the only time my son is like “okay dad enough” is Furious 7.
1517009425839448064,My520Agent,Thu Apr 21 05:16:46 +0000 2022,-122.923516,47.064528,@tdavegas Congrats!
1517009426435223552,Dios_Negro_,Thu Apr 21 05:16:46 +0000 2022,-84.31479200000001,33.706391999999994,I be dead as meeting some of the people I follow/follow me and don't even know it lol
1517009431044759554,HerniquaWare26,Thu Apr 21 05:16:47 +0000 2022,-95.44648649999999,29.838495,I be good without smoking they grind to throw me off out there
1517009437369663488,cmd34,Thu Apr 21 05:16:49 +0000 2022,-122.29648850000001,47.442583,@9Trapper @PowellAnalytics Hopefully.
1517009439538114560,Sirlalothegr8,Thu Apr 21 05:16:49 +0000 2022,-115.149,36.1675,"Appreciate it all @ Las Vegas, Nevada https://t.co/FrgEiQ5sLi"
1517009445313818624,MoneebRaja1,Thu Apr 21 05:16:51 +0000 2022,-77.4771055,39.0311595,A-Political post #امپورٹڈ_حکومت_نامنظور https://t.co/g6MFyvkZ1G
1517009445418639360,AyeChicoSuave,Thu Apr 21 05:16:51 +0000 2022,-87.7909645,41.843258500000005,Funny fact. @FreelanceWres is on April 22 which lands on Earth Day. Come celebrate #EarthDay2022 at Logan Squar… https://t.co/Oog5pg3ZEv
1517009447184306176,gonzo6664,Thu Apr 21 05:16:51 +0000 2022,-118.4119065,34.0207895,Me and who?
1517009447989690369,jim_mcb_99,Thu Apr 21 05:16:51 +0000 2022,-83.1738665,32.6782075,@InbredMarge I've cleared my Fri schedule to watch your village's idiot. She has no clue what receipts the J6 group… https://t.co/NawSG8hZpq
1517009448685821955,RawkC,Thu Apr 21 05:16:51 +0000 2022,-105.99910650000001,35.6565515,I say all of these things knowing that both of those losers will undoubtedly read it. They keep tabs on me incessan… https://t.co/X5YRxWV0B1
1517009448086081536,jengreene23,Thu Apr 21 05:16:51 +0000 2022,-111.73856649999999,33.295215,Tonight was Kaitlyn’s last High School dance performance. Her Senior tribute caused lots of tears. Super proud of h… https://t.co/g811L1aaZD
1517009448878829570,peacefulword,Thu Apr 21 05:16:51 +0000 2022,-117.8819695,34.087543,@Angie681366511 @Angel5642620235 Yes and there are other rare beautiful birds out there https://t.co/jeSJIhLN9w
